Time - Filtered	Amplitude - Filtered
44:52,7	2,81715
44:52,7	2,81663
44:52,7	2,82418
44:52,7	2,81721
44:52,7	2,82157
44:52,7	2,81895
44:52,7	2,81703
44:52,7	2,81244
44:52,8	2,80872
44:52,8	2,81076
44:52,8	2,8107
44:52,8	2,8175
44:52,8	2,81436
44:52,8	2,82017
44:52,8	2,81506
44:52,8	2,81628
44:52,9	2,80884
44:52,9	2,80657
44:52,9	2,81017
44:52,9	2,81901
44:52,9	2,81564
44:52,9	2,81581
44:52,9	2,81599
44:53,0	2,82279
44:53,0	2,81948
44:53,0	2,82157
44:53,0	2,81878
44:53,0	2,81453
44:53,0	2,81436
44:53,0	2,81233
44:53,0	2,8118
44:53,0	2,80692
44:53,1	2,81012
44:53,1	2,81006
44:53,1	2,81773
44:53,1	2,81657
44:53,1	2,81233
44:53,1	2,81657
44:53,1	2,82081
44:53,1	2,82116
44:53,2	2,8243
44:53,2	2,82622
44:53,2	2,82622
44:53,2	2,83
44:53,2	2,82384
44:53,2	2,82459
44:53,2	2,82227
44:53,2	2,82767
44:53,3	2,82418
44:53,3	2,82523
44:53,3	2,82622
44:53,3	2,82104
44:53,3	2,81599
44:53,3	2,81599
44:53,3	2,81796
44:53,3	2,82366
44:53,4	2,82273
44:53,4	2,82122
44:53,4	2,82104
44:53,4	2,8232
44:53,4	2,82308
44:53,4	2,81994
44:53,4	2,82767
44:53,4	2,82738
44:53,5	2,82442
44:53,5	2,82686
44:53,5	2,82645
44:53,5	2,82808
44:53,5	2,83133
44:53,5	2,82238
44:53,5	2,82529
44:53,5	2,82965
44:53,6	2,82587
44:53,6	2,82558
44:53,6	2,82686
44:53,6	2,82587
44:53,6	2,8257
44:53,6	2,82447
44:53,6	2,81581
44:53,6	2,81756
44:53,7	2,81488
44:53,7	2,81413
44:53,7	2,81477
44:53,7	2,82639
44:53,7	2,82017
44:53,7	2,82064
44:53,7	2,82221
44:53,7	2,82785
44:53,8	2,82488
44:53,8	2,82256
44:53,8	2,8207
44:53,8	2,82721
44:53,8	2,8304
44:53,8	2,82645
44:53,8	2,82663
44:53,8	2,82889
44:53,8	2,82907
44:53,9	2,82814
44:53,9	2,8261
44:53,9	2,82099
44:53,9	2,82453
44:53,9	2,82442
44:53,9	2,82459
44:53,9	2,82901
44:54,0	2,82843
44:54,0	2,83203
44:54,0	2,83784
44:54,0	2,8318
44:54,0	2,83348
44:54,0	2,83197
44:54,0	2,82982
44:54,0	2,82674
44:54,1	2,82488
44:54,1	2,82912
44:54,1	2,83529
44:54,1	2,83174
44:54,1	2,83023
44:54,1	2,83232
44:54,1	2,82849
44:54,1	2,8286
44:54,2	2,82087
44:54,2	2,82488
44:54,2	2,82291
44:54,2	2,81855
44:54,2	2,82442
44:54,2	2,83331
44:54,2	2,83215
44:54,2	2,83319
44:54,3	2,83965
44:54,3	2,84098
44:54,3	2,83546
44:54,3	2,83348
44:54,3	2,8361
44:54,3	2,83651
44:54,3	2,83279
44:54,3	2,83011
44:54,4	2,83372
44:54,4	2,83232
44:54,4	2,83546
44:54,4	2,83471
44:54,4	2,83912
44:54,4	2,84238
44:54,4	2,84005
44:54,4	2,8375
44:54,5	2,83407
44:54,5	2,8329
44:54,5	2,83569
44:54,5	2,83726
44:54,5	2,83726
44:54,5	2,83494
44:54,5	2,83482
44:54,5	2,84023
44:54,5	2,84412
44:54,6	2,83941
44:54,6	2,83622
44:54,6	2,84127
44:54,6	2,84395
44:54,6	2,83703
44:54,6	2,83732
44:54,6	2,84052
44:54,6	2,84424
44:54,7	2,84674
44:54,7	2,84895
44:54,7	2,84685
44:54,7	2,84703
44:54,7	2,8461
44:54,7	2,84337
44:54,7	2,83651
44:54,7	2,83279
44:54,8	2,83924
44:54,8	2,83331
44:54,8	2,83674
44:54,8	2,83354
44:54,8	2,83412
44:54,8	2,83529
44:54,8	2,83953
44:54,8	2,82697
44:54,9	2,82779
44:54,9	2,82767
44:54,9	2,8304
44:54,9	2,82715
