Time - Filtered	Amplitude - Filtered
01:51,9	3,05769
01:51,9	3,05955
01:51,9	3,05902
01:51,9	3,05827
01:51,9	3,05827
01:51,9	3,06036
01:51,9	3,05652
01:51,9	3,05664
01:51,9	3,0517
01:52,0	3,04967
01:52,0	3,05007
01:52,0	3,0503
01:52,0	3,04908
01:52,0	3,04949
01:52,0	3,05013
01:52,0	3,051
01:52,0	3,04967
01:52,0	3,04548
01:52,0	3,04996
01:52,1	3,05106
01:52,1	3,05536
01:52,1	3,05583
01:52,1	3,05757
01:52,1	3,06141
01:52,1	3,0628
01:52,1	3,0628
01:52,1	3,06216
01:52,1	3,06786
01:52,1	3,06989
01:52,2	3,0767
01:52,2	3,07821
01:52,2	3,08007
01:52,2	3,08193
01:52,2	3,08524
01:52,2	3,08757
01:52,2	3,08908
01:52,2	3,09094
01:52,2	3,09291
01:52,2	3,09983
01:52,3	3,09501
01:52,3	3,09751
01:52,3	3,09948
01:52,3	3,10309
01:52,3	3,10198
01:52,3	3,10163
01:52,3	3,10372
01:52,3	3,10698
01:52,3	3,10884
01:52,3	3,11082
01:52,4	3,1125
01:52,4	3,11448
01:52,4	3,11686
01:52,4	3,11855
01:52,4	3,12116
01:52,4	3,12145
01:52,4	3,12297
01:52,4	3,12494
01:52,4	3,12692
01:52,4	3,12814
01:52,5	3,12988
01:52,5	3,1357
01:52,5	3,13692
01:52,5	3,13843
01:52,5	3,13889
01:52,5	3,14087
01:52,5	3,14209
01:52,5	3,14319
01:52,5	3,14738
01:52,5	3,14825
01:52,6	3,14947
01:52,6	3,15046
01:52,6	3,15122
01:52,6	3,15191
01:52,6	3,15267
01:52,6	3,15342
01:52,6	3,15802
01:52,6	3,1586
01:52,6	3,15918
01:52,6	3,15941
01:52,7	3,15854
01:52,7	3,15918
01:52,7	3,15918
01:52,7	3,15959
01:52,7	3,16023
01:52,7	3,1604
01:52,7	3,16238
01:52,7	3,16523
01:52,7	3,16586
01:52,7	3,16331
01:52,8	3,15848
01:52,8	3,15837
01:52,8	3,15866
01:52,8	3,15854
01:52,8	3,16028
01:52,8	3,1604
01:52,8	3,15988
01:52,8	3,15749
01:52,8	3,15738
01:52,8	3,15738
01:52,9	3,15726
01:52,9	3,15825
01:52,9	3,15709
01:52,9	3,15697
01:52,9	3,15656
01:52,9	3,15592
01:52,9	3,15505
01:52,9	3,15319
01:52,9	3,14976
01:52,9	3,14901
01:53,0	3,14761
01:53,0	3,15209
01:53,0	3,1511
01:53,0	3,15267
01:53,0	3,15232
01:53,0	3,14959
01:53,0	3,14837
01:53,0	3,14988
01:53,0	3,14866
01:53,0	3,14755
01:53,1	3,14622
01:53,1	3,14546
01:53,1	3,14459
01:53,1	3,14401
01:53,1	3,14314
01:53,1	3,14128
01:53,1	3,14104
01:53,1	3,14273
01:53,1	3,14099
01:53,1	3,13971
01:53,2	3,13808
01:53,2	3,13686
01:53,2	3,13558
01:53,2	3,13436
01:53,2	3,12982
01:53,2	3,12796
01:53,2	3,1218
01:53,2	3,12355
01:53,2	3,11983
01:53,2	3,11413
01:53,3	3,11227
01:53,3	3,11006
01:53,3	3,10797
01:53,3	3,10576
01:53,3	3,10622
01:53,3	3,10402
01:53,3	3,10256
01:53,3	3,09919
01:53,3	3,09501
01:53,3	3,0932
01:53,4	3,09134
01:53,4	3,08937
01:53,4	3,08751
01:53,4	3,08553
01:53,4	3,08332
01:53,4	3,07675
01:53,4	3,07513
01:53,4	3,07786
01:53,4	3,07327
01:53,4	3,07117
01:53,5	3,0739
01:53,5	3,07228
01:53,5	3,07123
01:53,5	3,06914
01:53,5	3,06803
01:53,5	3,06431
01:53,5	3,06303
01:53,5	3,06187
01:53,5	3,061
01:53,5	3,0599
01:53,6	3,05902
01:53,6	3,05815
01:53,6	3,05466
01:53,6	3,05443
01:53,6	3,05368
01:53,6	3,05315
01:53,6	3,05769
01:53,6	3,05966
01:53,6	3,05914
01:53,6	3,05862
01:53,7	3,05809
01:53,7	3,05833
01:53,7	3,05821
01:53,7	3,05821
01:53,7	3,0617
01:53,7	3,06152
01:53,7	3,06449
01:53,7	3,06478
01:53,7	3,0678
01:53,7	3,06821
01:53,8	3,06832
01:53,8	3,06856
01:53,8	3,06931
01:53,8	3,07257
01:53,8	3,0728
01:53,8	3,07344
01:53,8	3,07693
01:53,8	3,07733
01:53,8	3,07524
01:53,8	3,07664
01:53,9	3,07815
01:53,9	3,0821
01:53,9	3,08594
01:53,9	3,08722
01:53,9	3,0885
01:53,9	3,08652
01:53,9	3,08803
01:53,9	3,08559
01:53,9	3,08855
01:53,9	3,08605
01:54,0	3,08664
01:54,0	3,08698
01:54,0	3,08675
01:54,0	3,08716
01:54,0	3,08815
01:54,0	3,08925
01:54,0	3,09036
01:54,0	3,08873
01:54,0	3,09204
01:54,0	3,09599
01:54,1	3,09844
01:54,1	3,10093
01:54,1	3,10093
01:54,1	3,10059
01:54,1	3,10355
01:54,1	3,10628
01:54,1	3,10948
01:54,1	3,11099
01:54,1	3,11361
01:54,1	3,1132
01:54,2	3,11913
01:54,2	3,12151
01:54,2	3,12413
01:54,2	3,12796
01:54,2	3,13314
01:54,2	3,13575
01:54,2	3,13773
01:54,2	3,14023
01:54,2	3,14285
01:54,2	3,14337
01:54,3	3,14325
01:54,3	3,14424
01:54,3	3,14471
01:54,3	3,14523
01:54,3	3,14581
01:54,3	3,1468
01:54,3	3,14779
01:54,3	3,14866
01:54,3	3,15052
01:54,3	3,1522
01:54,4	3,15447
01:54,4	3,15523
01:54,4	3,15709
01:54,4	3,15848
01:54,4	3,15918
01:54,4	3,15808
01:54,4	3,15906
01:54,4	3,16156
01:54,4	3,1622
01:54,4	3,16319
01:54,5	3,16395
01:54,5	3,16459
01:54,5	3,16325
01:54,5	3,16389
01:54,5	3,1672
01:54,5	3,16784
01:54,5	3,16796
01:54,5	3,16819
01:54,5	3,16819
01:54,5	3,16493
01:54,6	3,16395
01:54,6	3,16354
01:54,6	3,16133
01:54,6	3,1611
01:54,6	3,16081
01:54,6	3,16098
01:54,6	3,16063
01:54,6	3,16063
01:54,6	3,15988
01:54,6	3,16232
01:54,7	3,16191
01:54,7	3,16162
01:54,7	3,16145
01:54,7	3,16552
01:54,7	3,16464
01:54,7	3,16098
01:54,7	3,16034
01:54,7	3,15366
01:54,7	3,15244
01:54,7	3,15441
01:54,8	3,15581
01:54,8	3,15668
01:54,8	3,15645
01:54,8	3,15558
01:54,8	3,15459
01:54,8	3,15412
01:54,8	3,15313
01:54,8	3,15226
01:54,8	3,15139
01:54,8	3,14976
01:54,9	3,14616
01:54,9	3,14494
01:54,9	3,14424
01:54,9	3,1429
01:54,9	3,13697
01:54,9	3,13622
01:54,9	3,13558
01:54,9	3,13296
01:54,9	3,13843
01:54,9	3,14
01:55,0	3,13639
01:55,0	3,13727
01:55,0	3,13628
01:55,0	3,13012
01:55,0	3,12959
01:55,0	3,12843
01:55,0	3,12669
01:55,0	3,12517
01:55,0	3,12378
01:55,0	3,12302
01:55,1	3,12291
01:55,1	3,12221
01:55,1	3,12174
01:55,1	3,11541
01:55,1	3,11663
01:55,1	3,12006
01:55,1	3,11762
01:55,1	3,11523
01:55,1	3,11442
01:55,1	3,11279
01:55,2	3,10994
01:55,2	3,10361
01:55,2	3,10146
01:55,2	3,09937
01:55,2	3,10245
01:55,2	3,09989
01:55,2	3,09832
01:55,2	3,09721
01:55,2	3,09588
01:55,2	3,09454
01:55,3	3,09268
01:55,3	3,09047
01:55,3	3,0885
01:55,3	3,086
01:55,3	3,09158
01:55,3	3,08739
01:55,3	3,08332
01:55,3	3,0828
01:55,3	3,08245
01:55,3	3,08181
01:55,4	3,07995
01:55,4	3,07797
01:55,4	3,08146
01:55,4	3,08036
01:55,4	3,07925
01:55,4	3,07803
01:55,4	3,07751
01:55,4	3,07699
01:55,4	3,07885
01:55,4	3,07832
01:55,5	3,07757
01:55,5	3,07681
01:55,5	3,07594
01:55,5	3,07792
01:55,5	3,07792
01:55,5	3,07495
01:55,5	3,07507
01:55,5	3,07507
01:55,5	3,07571
01:55,5	3,07635
01:55,6	3,07844
01:55,6	3,07832
01:55,6	3,07809
01:55,6	3,07623
01:55,6	3,076
01:55,6	3,07646
01:55,6	3,07716
01:55,6	3,07867
01:55,6	3,08007
01:55,6	3,07879
01:55,7	3,08076
01:55,7	3,08175
01:55,7	3,08251
01:55,7	3,08448
01:55,7	3,08408
01:55,7	3,0857
01:55,7	3,08855
01:55,7	3,09326
01:55,7	3,09535
01:55,7	3,09646
01:55,8	3,10018
01:55,8	3,09919
01:55,8	3,10349
01:55,8	3,10599
01:55,8	3,11268
01:55,8	3,11512
01:55,8	3,11994
01:55,8	3,1243
01:55,8	3,12512
01:55,8	3,12698
01:55,9	3,12849
01:55,9	3,12936
01:55,9	3,12628
01:55,9	3,12826
01:55,9	3,12913
01:55,9	3,13
01:55,9	3,13221
01:55,9	3,13308
01:55,9	3,13198
01:55,9	3,13349
01:56,0	3,1357
01:56,0	3,13529
01:56,0	3,1379
01:56,0	3,13721
01:56,0	3,1379
01:56,0	3,13668
01:56,0	3,13854
01:56,0	3,13773
01:56,0	3,1375
01:56,0	3,13976
01:56,1	3,1411
01:56,1	3,14273
01:56,1	3,14436
01:56,1	3,15104
01:56,1	3,15226
01:56,1	3,15447
01:56,1	3,15424
01:56,1	3,15511
01:56,1	3,15656
01:56,1	3,1579
01:56,2	3,16174
01:56,2	3,16546
01:56,2	3,16906
01:56,2	3,17028
01:56,2	3,17174
01:56,2	3,17336
01:56,2	3,17743
01:56,2	3,1736
01:56,2	3,17458
01:56,2	3,17528
01:56,3	3,17575
01:56,3	3,17586
01:56,3	3,17673
01:56,3	3,1772
01:56,3	3,17766
01:56,3	3,17894
01:56,3	3,17906
01:56,3	3,18127
01:56,3	3,18173
01:56,3	3,18197
01:56,4	3,1822
01:56,4	3,17982
01:56,4	3,17749
01:56,4	3,17499
01:56,4	3,17534
01:56,4	3,17575
01:56,4	3,16993
01:56,4	3,16674
01:56,4	3,17383
01:56,4	3,17342
01:56,5	3,1686
01:56,5	3,16802
01:56,5	3,1679
01:56,5	3,16726
01:56,5	3,16679
01:56,5	3,16929
01:56,5	3,17127
01:56,5	3,17278
01:56,5	3,17203
01:56,5	3,16633
01:56,6	3,16534
01:56,6	3,16435
01:56,6	3,16267
01:56,6	3,1618
01:56,6	3,16121
01:56,6	3,1604
01:56,6	3,15866
01:56,6	3,16348
01:56,6	3,16238
01:56,6	3,15854
01:56,7	3,15744
01:56,7	3,16005
01:56,7	3,15918
01:56,7	3,15767
01:56,7	3,15656
01:56,7	3,15592
01:56,7	3,15156
01:56,7	3,14732
01:56,7	3,14395
01:56,7	3,14285
01:56,8	3,14633
01:56,8	3,13953
01:56,8	3,13872
01:56,8	3,13843
01:56,8	3,13732
01:56,8	3,13581
01:56,8	3,13366
01:56,8	3,13227
01:56,8	3,12994
01:56,8	3,12855
01:56,9	3,12744
01:56,9	3,12535
01:56,9	3,12413
01:56,9	3,12262
01:56,9	3,11721
01:56,9	3,11558
01:56,9	3,10936
01:56,9	3,10768
01:56,9	3,10611
01:56,9	3,10442
01:57,0	3,10233
01:57,0	3,10035
01:57,0	3,10646
01:57,0	3,10419
01:57,0	3,10233
01:57,0	3,10059
01:57,0	3,09849
01:57,0	3,09681
01:57,0	3,09524
01:57,0	3,0946
01:57,1	3,09338
01:57,1	3,0914
01:57,1	3,0903
01:57,1	3,08908
01:57,1	3,08774
01:57,1	3,09094
01:57,1	3,08972
01:57,1	3,09274
01:57,1	3,09187
01:57,1	3,09088
01:57,2	3,0896
01:57,2	3,08913
01:57,2	3,08879
01:57,2	3,08582
01:57,2	3,08559
01:57,2	3,08489
01:57,2	3,08379
01:57,2	3,08355
01:57,2	3,08367
01:57,2	3,08414
01:57,3	3,0846
01:57,3	3,0846
01:57,3	3,08472
01:57,3	3,08419
01:57,3	3,08454
01:57,3	3,08379
01:57,3	3,08344
01:57,3	3,08629
01:57,3	3,08675
01:57,3	3,0896
01:57,4	3,0896
01:57,4	3,0907
01:57,4	3,09117
01:57,4	3,09129
01:57,4	3,09187
01:57,4	3,09396
01:57,4	3,09384
01:57,4	3,0964
01:57,4	3,09937
01:57,4	3,10035
01:57,5	3,10047
01:57,5	3,10146
01:57,5	3,10454
01:57,5	3,10553
01:57,5	3,10739
01:57,5	3,10785
01:57,5	3,11146
01:57,5	3,11047
01:57,5	3,1039
01:57,5	3,10617
01:57,6	3,10785
01:57,6	3,10994
01:57,6	3,11082
01:57,6	3,11204
01:57,6	3,11425
01:57,6	3,11547
01:57,6	3,11512
01:57,6	3,11709
01:57,6	3,11663
01:57,6	3,11587
01:57,7	3,11744
01:57,7	3,11523
01:57,7	3,1164
01:57,7	3,1189
01:57,7	3,12163
01:57,7	3,12349
01:57,7	3,12535
01:57,7	3,12581
01:57,7	3,13023
01:57,7	3,13756
01:57,8	3,13506
01:57,8	3,13482
01:57,8	3,1368
01:57,8	3,13907
01:57,8	3,13936
01:57,8	3,14383
01:57,8	3,1461
01:57,8	3,14854
01:57,8	3,15098
01:57,8	3,15592
01:57,9	3,15842
01:57,9	3,15523
01:57,9	3,16156
01:57,9	3,16366
01:57,9	3,16226
01:57,9	3,16325
01:57,9	3,16499
01:57,9	3,16726
01:57,9	3,17051
01:57,9	3,17191
01:58,0	3,17325
01:58,0	3,17796
01:58,0	3,17836
01:58,0	3,17958
01:58,0	3,18092
01:58,0	3,184
01:58,0	3,18249
01:58,0	3,18359
01:58,0	3,18447
01:58,0	3,18534
01:58,1	3,18348
01:58,1	3,18394
01:58,1	3,18505
01:58,1	3,18342
01:58,2	3,18168
01:58,2	3,17912
01:58,2	3,17697
01:58,2	3,17424
01:58,2	3,17371
01:58,2	3,17232
01:58,2	3,1722
01:58,2	3,17156
01:58,2	3,17115
01:58,2	3,17127
01:58,3	3,17115
01:58,3	3,17127
01:58,3	3,17127
01:58,3	3,17115
01:58,3	3,17104
01:58,3	3,17081
01:58,3	3,17081
01:58,3	3,17069
01:58,3	3,17081
01:58,3	3,17528
01:58,4	3,17726
01:58,4	3,17912
01:58,4	3,18231
01:58,4	3,18505
01:58,4	3,18813
01:58,4	3,18912
01:58,4	3,189
01:58,4	3,18958
01:58,4	3,19173
01:58,4	3,19249
01:58,5	3,19295
01:58,5	3,19307
01:58,5	3,19307
01:58,5	3,19353
01:58,5	3,19353
01:58,5	3,19377
01:58,5	3,19412
01:58,5	3,19423
01:58,5	3,19487
01:58,5	3,19475
01:58,6	3,19539
01:58,6	3,19563
01:58,6	3,19586
